localidad,sex,age,violence,cruelty,gender,gender_2
KENNEDY,F,26,7.41,6.44,C,F
SUBA,F,39,4.73,4.12,C,F
KENNEDY,F,4,3.72,3.85,C,F
KENNEDY,M,29,7.39,3.58,C,H
USAQUEN,M,35,3.33,0.67,C,H
USAQUEN,F,16,5.0,4.75,C,F
USAQUEN,F,32,4.21,2.86,C,F
USAQUEN,X,49,3.4,5.41,T,F
KENNEDY,F,14,6.54,3.45,C,F
MARTIRES,F,20,5.4,4.44,C,F
SUBA,X,25,5.74,7.48,T,F
MARTIRES,M,44,2.75,0.53,C,H
KENNEDY,M,32,7.54,0.05,C,H
SUBA,M,3,3.24,2.28,C,H
USAQUEN,F,37,3.73,2.59,C,F
SUBA,M,21,5.34,1.76,C,H
USAQUEN,M,18,4.49,3.34,C,H
KENNEDY,F,7,5.63,4.31,C,F
USAQUEN,F,15,6.05,5.32,C,F
SUBA,M,41,3.84,2.88,C,H
MARTIRES,F,43,3.76,2.49,C,F
SUBA,F,14,2.88,3.13,C,F
KENNEDY,M,20,7.81,2.81,C,H
USAQUEN,F,12,3.68,5.73,C,F
SUBA,F,25,5.74,4.06,C,F
KENNEDY,M,10,6.47,1.91,C,H
KENNEDY,F,18,8.45,4.97,C,F
USAQUEN,F,8,3.28,2.8,C,F
USAQUEN,M,17,5.5,4.13,C,H
KENNEDY,F,7,3.39,3.86,C,F
USAQUEN,F,31,3.91,4.27,C,F
KENNEDY,F,1,4.66,5.58,C,F
KENNEDY,F,8,6.15,3.78,C,F
USAQUEN,F,33,4.33,2.29,C,F
MARTIRES,F,14,3.75,4.6,C,F
SUBA,M,36,5.15,1.82,C,H
MARTIRES,F,56,4.66,2.65,C,F
SUBA,F,12,4.35,4.3,C,F
MARTIRES,M,35,5.85,0.87,C,H
KENNEDY,M,11,5.27,2.21,C,H
KENNEDY,M,17,7.31,2.07,C,H
MARTIRES,M,33,5.42,2.62,C,H
KENNEDY,F,16,8.73,5.49,C,F
USAQUEN,F,23,4.3,4.63,C,F
SUBA,F,13,4.42,5.29,C,F
USAQUEN,F,26,4.72,5.1,C,F
KENNEDY,F,9,5.1,6.42,C,F
USAQUEN,M,20,5.08,2.0,C,H
SUBA,F,2,1.83,7.2,C,F
MARTIRES,M,15,6.97,3.68,C,H
KENNEDY,M,32,6.33,1.76,C,H
SUBA,M,7,2.7,1.42,C,H
SUBA,F,17,5.15,5.43,C,F
MARTIRES,F,19,7.57,7.05,C,F
USAQUEN,M,8,1.74,1.32,C,H
MARTIRES,M,28,6.16,1.92,C,H
KENNEDY,F,29,7.46,5.16,C,F
KENNEDY,F,12,5.29,2.06,C,F
USAQUEN,F,19,5.04,6.29,C,F
KENNEDY,F,18,9.36,5.41,C,F
SUBA,M,26,6.13,1.37,C,H
USAQUEN,M,23,3.77,2.88,C,H
KENNEDY,F,29,5.87,5.47,C,F
SUBA,F,25,5.35,6.1,C,F
KENNEDY,F,14,4.98,4.81,C,F
MARTIRES,M,31,5.89,1.42,C,H
KENNEDY,M,32,7.2,1.84,C,H
MARTIRES,M,27,6.2,3.41,C,H
SUBA,F,32,6.38,6.39,C,F
SUBA,F,3,4.95,3.32,C,F
MARTIRES,M,15,6.22,2.27,C,H
SUBA,M,16,5.44,1.27,C,H
MARTIRES,F,17,7.64,5.89,C,F
KENNEDY,F,14,5.89,1.7,C,F
MARTIRES,F,40,3.97,2.75,C,F
MARTIRES,F,28,7.87,4.58,C,F
USAQUEN,F,23,7.17,4.63,C,F
KENNEDY,F,19,9.35,5.78,C,F
MARTIRES,F,11,5.17,5.58,C,F
USAQUEN,F,15,6.3,5.71,C,F
SUBA,F,2,2.67,3.51,C,F
USAQUEN,F,9,3.97,5.72,C,F
USAQUEN,M,18,3.57,4.1,C,H
MARTIRES,X,49,4.51,8.34,T,F
USAQUEN,F,51,1.79,1.21,C,F
SUBA,M,5,3.26,3.0,C,H
USAQUEN,M,9,1.82,3.08,C,H
KENNEDY,M,1,5.12,0.79,C,H
KENNEDY,M,50,7.02,0.82,C,H
SUBA,F,27,5.39,3.2,C,F
KENNEDY,F,41,5.06,4.62,C,F
KENNEDY,F,55,5.72,3.22,C,F
KENNEDY,F,47,3.39,3.32,C,F
MARTIRES,F,15,5.91,4.83,C,F
KENNEDY,F,18,9.76,2.96,C,F
MARTIRES,X,31,6.38,6.21,T,F
SUBA,F,32,7.28,3.51,C,F
KENNEDY,M,22,7.49,3.01,C,H
MARTIRES,M,19,7.8,2.44,C,H
SUBA,F,8,3.9,3.33,C,F
MARTIRES,M,22,7.31,1.79,C,H
KENNEDY,M,24,9.35,4.03,C,H
MARTIRES,F,10,4.53,4.92,C,F
USAQUEN,F,25,1.29,5.97,C,F
MARTIRES,F,25,5.72,3.08,C,F
USAQUEN,F,15,5.87,5.71,C,F
KENNEDY,F,47,4.51,6.03,C,F
KENNEDY,M,12,7.29,1.67,C,H
MARTIRES,F,31,7.24,5.23,C,F
MARTIRES,M,22,8.13,4.13,C,H
SUBA,F,27,4.96,3.95,C,F
KENNEDY,M,22,6.98,2.18,C,H
MARTIRES,F,7,4.91,5.55,C,F
KENNEDY,F,9,4.39,4.68,C,F
KENNEDY,F,45,5.23,4.02,C,F
MARTIRES,M,14,2.59,1.94,C,H
MARTIRES,M,16,7.45,4.14,C,H
USAQUEN,X,34,4.56,7.88,T,F
USAQUEN,M,7,2.61,2.15,C,H
SUBA,F,24,6.18,4.59,C,F
KENNEDY,M,25,8.68,4.04,C,H
SUBA,M,21,4.68,1.7,C,H
KENNEDY,F,14,5.83,3.09,C,F
KENNEDY,M,33,6.54,2.66,C,H
USAQUEN,F,24,4.06,5.75,C,F
SUBA,M,24,6.24,2.92,C,H
USAQUEN,M,43,3.58,1.28,C,H
MARTIRES,F,20,6.26,5.78,C,F
KENNEDY,F,27,6.72,5.05,C,F
USAQUEN,M,20,4.21,3.83,C,H
USAQUEN,F,37,3.11,3.43,C,F
KENNEDY,F,11,5.35,4.35,C,F
SUBA,F,10,4.76,5.43,C,F
MARTIRES,F,5,3.33,4.47,C,F
MARTIRES,M,16,5.64,3.71,C,H
USAQUEN,F,32,3.85,4.26,C,F
USAQUEN,F,2,3.88,3.91,C,F
USAQUEN,M,5,2.25,2.14,C,H
KENNEDY,M,20,7.96,5.32,C,H
MARTIRES,M,16,5.86,2.47,C,H
SUBA,X,17,5.77,7.13,T,F
USAQUEN,F,36,5.0,4.1,C,F
USAQUEN,M,25,4.97,2.62,C,H
KENNEDY,F,11,4.93,3.73,C,F
MARTIRES,F,19,7.15,6.52,C,F
USAQUEN,F,20,5.69,5.09,C,F
SUBA,M,35,3.73,2.53,C,H
SUBA,M,34,6.51,1.28,C,H
USAQUEN,M,16,5.04,3.01,C,H
SUBA,F,45,1.98,4.64,C,F
KENNEDY,F,29,8.25,3.82,C,F
USAQUEN,M,32,5.75,1.28,C,H
SUBA,M,40,3.53,0.73,C,H
SUBA,F,11,4.33,3.76,C,F
SUBA,F,23,6.83,4.85,C,F
SUBA,F,20,6.03,4.03,C,F
USAQUEN,M,29,3.58,3.31,C,H
USAQUEN,F,14,3.13,4.34,C,F
SUBA,F,43,2.46,4.5,C,F
MARTIRES,X,42,4.59,6.85,T,F
SUBA,M,23,7.09,2.87,C,H
USAQUEN,F,8,3.57,3.75,C,F
MARTIRES,M,42,3.16,0.26,C,H
SUBA,F,24,4.68,6.14,C,F
SUBA,F,21,5.87,5.58,C,F
USAQUEN,F,49,2.19,2.84,C,F
MARTIRES,F,29,7.33,3.64,C,F
USAQUEN,F,7,2.06,1.89,C,F
SUBA,F,12,4.79,3.72,C,F
SUBA,X,42,3.75,5.16,T,F
SUBA,F,19,6.64,6.94,C,F
SUBA,M,23,5.86,3.47,C,H
MARTIRES,F,6,5.24,3.38,C,F
KENNEDY,F,20,8.46,5.12,C,F
MARTIRES,F,30,6.1,3.49,C,F
SUBA,F,39,5.11,3.85,C,F
SUBA,M,5,2.75,2.09,C,H
MARTIRES,M,35,5.16,2.81,C,H
SUBA,M,29,5.65,3.41,C,H
USAQUEN,M,23,3.98,1.31,C,H
USAQUEN,M,28,3.16,3.56,C,H
MARTIRES,F,16,8.33,4.26,C,F
SUBA,M,20,5.99,3.2,C,H
SUBA,F,14,3.44,4.81,C,F
KENNEDY,M,37,7.21,1.94,C,H
KENNEDY,M,24,7.74,0.06,C,H
USAQUEN,M,41,0.65,0.67,C,H
MARTIRES,X,42,4.83,4.65,T,F
KENNEDY,M,18,7.95,3.8,C,H
MARTIRES,M,38,6.26,2.43,C,H
MARTIRES,F,4,4.15,4.08,C,F
USAQUEN,M,22,5.83,3.75,C,H
KENNEDY,F,22,8.45,3.76,C,F
SUBA,F,5,2.98,4.23,C,F
SUBA,M,15,4.56,2.26,C,H
MARTIRES,F,37,6.59,2.69,C,F
USAQUEN,F,12,3.05,5.06,C,F
MARTIRES,X,29,6.24,6.33,T,F
SUBA,M,17,6.51,2.67,C,H
USAQUEN,F,26,3.5,6.59,C,F
KENNEDY,F,39,5.22,2.99,C,F
USAQUEN,M,26,4.28,1.97,C,H
SUBA,F,28,5.03,4.22,C,F
KENNEDY,M,15,7.66,1.74,C,H
SUBA,M,12,3.65,1.6,C,H
KENNEDY,M,41,4.06,2.25,C,H
KENNEDY,F,5,2.89,3.29,C,F
USAQUEN,M,56,3.25,2.19,C,H
MARTIRES,F,9,1.67,3.82,C,F
SUBA,F,15,4.75,5.45,C,F
MARTIRES,F,32,6.41,3.93,C,F
SUBA,F,21,6.03,5.21,C,F
SUBA,F,21,5.95,5.15,C,F
SUBA,M,15,6.17,3.49,C,H
USAQUEN,F,26,4.57,3.89,C,F
SUBA,F,28,4.02,5.13,C,F
MARTIRES,M,12,6.35,3.88,C,H
SUBA,F,5,4.87,3.55,C,F
SUBA,F,23,4.69,6.41,C,F
KENNEDY,M,29,6.98,4.36,C,H
SUBA,M,31,5.04,2.68,C,H
MARTIRES,M,24,5.56,3.84,C,H
SUBA,F,7,2.49,3.83,C,F
USAQUEN,F,62,2.61,2.31,C,F
MARTIRES,F,29,5.68,4.89,C,F
USAQUEN,F,22,5.71,6.18,C,F
MARTIRES,F,20,5.31,6.27,C,F
USAQUEN,F,17,4.34,4.43,C,F
MARTIRES,F,50,3.76,3.24,C,F
KENNEDY,X,39,5.15,6.63,T,F
MARTIRES,M,17,7.38,2.5,C,H
USAQUEN,M,3,0.83,1.2,C,H
KENNEDY,F,17,9.88,5.18,C,F
KENNEDY,F,26,9.13,4.49,C,F
MARTIRES,F,5,4.46,3.5,C,F
MARTIRES,M,12,3.68,1.78,C,H
MARTIRES,F,13,5.68,3.28,C,F
SUBA,F,39,7.54,3.88,C,F
USAQUEN,F,35,3.77,3.5,C,F
MARTIRES,M,42,3.1,2.77,C,H
KENNEDY,F,32,5.9,3.35,C,F
SUBA,M,5,2.12,1.31,C,H
KENNEDY,F,15,6.19,4.45,C,F
USAQUEN,F,2,2.03,3.35,C,F
KENNEDY,F,4,5.17,4.35,C,F
KENNEDY,F,24,8.73,5.79,C,F
MARTIRES,F,4,3.0,4.17,C,F
SUBA,X,49,2.5,6.23,T,F
SUBA,M,21,6.03,3.56,C,H
USAQUEN,F,2,1.88,2.95,C,F
KENNEDY,F,23,9.43,4.44,C,F
MARTIRES,F,43,2.79,5.22,C,F
MARTIRES,F,10,4.22,4.53,C,F
SUBA,M,36,6.74,2.6,C,H
USAQUEN,M,30,5.73,3.04,C,H
MARTIRES,F,19,6.94,3.58,C,F
KENNEDY,M,17,7.12,2.83,C,H
KENNEDY,F,29,5.97,6.68,C,F
KENNEDY,F,52,3.08,4.3,C,F
MARTIRES,M,13,6.68,1.46,C,H
MARTIRES,M,15,5.87,2.81,C,H
MARTIRES,F,15,7.13,4.44,C,F
KENNEDY,F,2,5.79,4.46,C,F
SUBA,F,24,4.03,4.79,C,F
MARTIRES,F,62,2.05,3.37,C,F
SUBA,F,34,6.14,4.33,C,F
KENNEDY,M,32,7.0,1.21,C,H
MARTIRES,F,27,7.56,5.35,C,F
MARTIRES,F,26,7.18,5.43,C,F
USAQUEN,M,40,2.1,2.59,C,H
USAQUEN,M,6,1.46,1.6,C,H
USAQUEN,F,31,2.97,3.14,C,F
SUBA,M,29,2.79,0.99,C,H
MARTIRES,F,55,2.78,2.68,C,F
MARTIRES,M,14,2.95,1.0,C,H
MARTIRES,M,16,6.84,1.24,C,H
USAQUEN,M,1,1.73,2.08,C,H
KENNEDY,F,34,8.15,4.73,C,F
MARTIRES,M,7,4.42,2.54,C,H
SUBA,F,1,2.14,3.93,C,F
MARTIRES,F,21,7.9,5.24,C,F
MARTIRES,F,14,3.95,3.55,C,F
MARTIRES,F,19,7.22,5.47,C,F
SUBA,F,20,5.74,3.37,C,F
MARTIRES,M,10,6.53,1.65,C,H
KENNEDY,M,33,9.35,1.57,C,H
KENNEDY,F,22,6.98,5.73,C,F
KENNEDY,F,8,5.02,2.02,C,F
SUBA,F,12,4.91,4.46,C,F
USAQUEN,X,19,4.03,6.48,T,F
SUBA,M,42,3.21,1.96,C,H
KENNEDY,F,24,6.85,5.09,C,F
USAQUEN,F,26,4.72,5.46,C,F
SUBA,F,21,5.95,4.5,C,F
SUBA,M,33,4.81,2.41,C,H
KENNEDY,F,19,7.37,6.41,C,F
MARTIRES,F,1,2.04,3.74,C,F
SUBA,M,20,7.13,2.74,C,H
USAQUEN,F,19,6.04,4.73,C,F
SUBA,F,26,3.39,6.61,C,F
KENNEDY,F,2,3.89,3.39,C,F
USAQUEN,F,53,1.62,3.01,C,F
USAQUEN,F,13,1.6,3.9,C,F
KENNEDY,F,48,5.48,4.93,C,F
USAQUEN,M,22,2.82,3.02,C,H
SUBA,F,19,7.38,5.47,C,F
MARTIRES,F,13,4.2,3.4,C,F
USAQUEN,F,13,2.13,4.56,C,F
MARTIRES,M,34,5.42,1.55,C,H
MARTIRES,F,29,5.28,4.96,C,F
KENNEDY,M,24,6.94,3.15,C,H
SUBA,F,29,5.79,5.4,C,F
SUBA,F,37,5.39,4.77,C,F
KENNEDY,M,18,5.2,3.98,C,H
MARTIRES,F,14,6.15,4.33,C,F
KENNEDY,F,31,7.83,2.65,C,F
KENNEDY,F,9,5.99,3.07,C,F
USAQUEN,M,16,5.78,2.99,C,H
SUBA,F,28,4.26,2.92,C,F
KENNEDY,F,28,5.29,2.96,C,F
KENNEDY,F,14,5.87,5.66,C,F
MARTIRES,M,6,4.6,0.78,C,H
MARTIRES,F,29,5.69,4.54,C,F
MARTIRES,M,13,5.77,2.87,C,H
KENNEDY,F,37,6.25,5.27,C,F
MARTIRES,M,2,2.42,1.96,C,H
USAQUEN,F,25,4.19,2.64,C,F
SUBA,F,44,2.46,3.62,C,F
USAQUEN,F,28,4.52,5.36,C,F
SUBA,F,44,2.57,3.48,C,F
USAQUEN,M,22,4.11,4.04,C,H
KENNEDY,M,10,5.7,1.6,C,H
KENNEDY,M,34,7.95,1.19,C,H
SUBA,F,9,1.77,4.15,C,F
KENNEDY,F,10,6.81,5.43,C,F
SUBA,M,9,2.61,1.6,C,H
MARTIRES,X,37,6.68,6.48,T,F
KENNEDY,M,24,7.7,1.65,C,H
MARTIRES,M,10,4.18,1.31,C,H
USAQUEN,F,7,2.09,3.12,C,F
MARTIRES,F,17,6.57,5.98,C,F
MARTIRES,X,46,3.77,6.49,T,F
USAQUEN,F,5,2.11,4.39,C,F
MARTIRES,M,51,3.35,1.73,C,H
MARTIRES,M,30,6.85,1.91,C,H
KENNEDY,M,10,5.98,2.3,C,H
KENNEDY,F,17,8.44,8.03,C,F
USAQUEN,M,12,4.61,1.81,C,H
KENNEDY,X,35,5.8,5.24,T,F
SUBA,F,16,5.68,5.4,C,F
MARTIRES,F,31,5.8,3.79,C,F
MARTIRES,F,14,4.15,4.2,C,F
SUBA,F,22,6.82,3.97,C,F
MARTIRES,M,13,4.84,1.54,C,H
MARTIRES,F,8,5.47,3.92,C,F
MARTIRES,F,5,4.41,4.03,C,F
MARTIRES,F,32,6.83,3.97,C,F
SUBA,F,31,6.24,4.43,C,F
SUBA,F,26,7.86,3.61,C,F
SUBA,F,33,3.38,3.47,C,F
MARTIRES,M,5,4.09,2.74,C,H
MARTIRES,M,25,4.6,2.24,C,H
SUBA,M,5,3.3,2.87,C,H
KENNEDY,F,14,4.81,3.65,C,F
USAQUEN,M,26,4.31,3.34,C,H
MARTIRES,F,38,6.28,2.77,C,F
KENNEDY,M,16,8.84,1.7,C,H
KENNEDY,M,51,5.46,1.91,C,H
SUBA,M,35,4.96,2.34,C,H
KENNEDY,M,16,9.28,3.09,C,H
SUBA,M,16,7.9,3.61,C,H
USAQUEN,M,38,4.02,0.63,C,H
SUBA,F,17,4.78,5.06,C,F
USAQUEN,M,20,4.48,1.93,C,H
SUBA,F,10,3.33,3.68,C,F
KENNEDY,M,15,6.41,3.08,C,H
USAQUEN,F,34,3.89,3.41,C,F
MARTIRES,F,23,6.11,5.97,C,F
USAQUEN,M,27,3.99,4.17,C,H
MARTIRES,M,14,4.39,1.25,C,H
SUBA,F,29,6.55,4.46,C,F
SUBA,F,51,3.39,4.57,C,F
MARTIRES,F,22,9.33,6.79,C,F
SUBA,M,15,7.15,2.71,C,H
USAQUEN,F,28,3.92,6.86,C,F
SUBA,F,37,4.86,3.73,C,F
USAQUEN,F,34,3.93,1.7,C,F
MARTIRES,M,5,4.34,3.06,C,H
MARTIRES,M,10,5.54,1.48,C,H
MARTIRES,F,12,4.89,4.4,C,F
KENNEDY,M,38,6.18,2.31,C,H
USAQUEN,M,17,4.79,1.42,C,H
USAQUEN,X,40,1.96,6.86,T,F
MARTIRES,M,18,6.65,3.56,C,H
USAQUEN,M,12,3.22,0.89,C,H
SUBA,F,6,2.19,4.78,C,F
USAQUEN,F,30,3.97,5.23,C,F
KENNEDY,F,23,8.26,3.24,C,F
SUBA,F,47,1.73,4.37,C,F
MARTIRES,F,5,2.53,3.89,C,F
USAQUEN,F,18,3.71,6.45,C,F
USAQUEN,M,14,3.64,2.1,C,H
SUBA,F,18,5.18,3.94,C,F
SUBA,F,12,4.27,3.2,C,F
USAQUEN,M,23,2.48,3.42,C,H
SUBA,X,49,4.08,6.61,T,F
SUBA,M,2,2.52,2.82,C,H
SUBA,F,23,5.85,4.04,C,F
KENNEDY,M,12,5.42,0.92,C,H
MARTIRES,F,10,4.21,3.64,C,F
USAQUEN,X,12,2.37,6.83,T,F
KENNEDY,M,30,7.13,3.4,C,H
MARTIRES,X,16,6.3,5.48,T,F
KENNEDY,F,29,8.91,5.98,C,F
SUBA,M,13,2.16,1.45,C,H
MARTIRES,M,17,5.52,3.21,C,H
MARTIRES,X,33,2.75,4.58,T,F
KENNEDY,M,17,7.48,3.51,C,H
SUBA,M,10,4.65,2.99,C,H
USAQUEN,F,26,3.1,5.36,C,F
KENNEDY,F,24,7.88,4.96,C,F
KENNEDY,F,27,8.11,4.92,C,F
SUBA,F,26,3.29,5.75,C,F
SUBA,M,22,7.04,3.38,C,H
USAQUEN,F,25,5.22,4.72,C,F
USAQUEN,M,31,4.58,1.21,C,H
SUBA,F,9,2.57,3.75,C,F
USAQUEN,M,7,1.17,1.69,C,H
USAQUEN,F,5,0.38,4.82,C,F
USAQUEN,M,5,1.93,1.93,C,H
USAQUEN,M,9,1.45,2.15,C,H
MARTIRES,F,4,3.87,3.96,C,F
SUBA,F,21,4.35,4.88,C,F
MARTIRES,F,22,6.68,3.02,C,F
KENNEDY,F,23,7.44,5.21,C,F
USAQUEN,F,1,2.22,2.01,C,F
KENNEDY,F,42,3.36,3.47,C,F
MARTIRES,F,22,6.31,3.63,C,F
USAQUEN,M,25,3.49,3.41,C,H
KENNEDY,F,25,7.3,5.84,C,F
USAQUEN,M,6,3.77,1.13,C,H
SUBA,F,12,4.11,5.94,C,F
SUBA,M,46,2.49,1.68,C,H
SUBA,F,29,4.66,4.74,C,F
SUBA,F,4,3.31,3.62,C,F
MARTIRES,M,30,6.01,2.05,C,H
KENNEDY,F,31,7.81,2.04,C,F
KENNEDY,M,13,5.58,2.92,C,H
MARTIRES,F,52,2.38,4.02,C,F
MARTIRES,M,18,7.4,1.52,C,H
SUBA,M,61,3.91,1.64,C,H
SUBA,M,12,5.91,0.93,C,H
USAQUEN,M,41,1.44,0.93,C,H
SUBA,F,22,5.33,5.47,C,F
MARTIRES,X,8,4.48,6.18,T,F
MARTIRES,F,12,4.18,5.39,C,F
KENNEDY,M,54,5.96,2.86,C,H
MARTIRES,M,52,4.43,1.44,C,H
MARTIRES,M,32,4.99,2.91,C,H
SUBA,M,25,5.61,3.55,C,H
SUBA,F,21,6.41,4.79,C,F
MARTIRES,M,27,5.47,3.2,C,H
SUBA,F,29,5.93,3.99,C,F
KENNEDY,F,37,6.68,3.62,C,F
SUBA,X,3,3.82,6.53,T,F
KENNEDY,F,7,3.74,3.09,C,F
USAQUEN,F,21,4.8,4.7,C,F
USAQUEN,F,28,5.23,6.34,C,F
MARTIRES,F,28,6.22,5.88,C,F
MARTIRES,M,18,8.72,4.7,C,H
MARTIRES,M,18,7.39,3.38,C,H
SUBA,M,17,6.27,2.03,C,H
KENNEDY,M,36,8.99,1.52,C,H
MARTIRES,M,37,4.75,1.95,C,H
USAQUEN,M,21,5.56,3.42,C,H
SUBA,M,16,5.71,2.96,C,H
USAQUEN,F,18,5.36,5.0,C,F
KENNEDY,M,1,4.8,2.05,C,H
MARTIRES,F,1,4.1,5.23,C,F
MARTIRES,M,34,5.64,2.19,C,H
SUBA,M,11,3.23,1.0,C,H
KENNEDY,F,22,8.39,5.46,C,F
USAQUEN,M,32,5.9,1.22,C,H
KENNEDY,M,40,5.58,2.3,C,H
SUBA,F,33,4.64,4.09,C,F
KENNEDY,F,27,7.97,5.56,C,F
SUBA,F,16,5.43,2.92,C,F
MARTIRES,M,39,6.55,2.52,C,H
USAQUEN,F,35,3.29,5.34,C,F
KENNEDY,F,17,8.42,4.64,C,F
KENNEDY,F,5,4.27,3.85,C,F
KENNEDY,M,21,8.91,1.33,C,H
SUBA,M,18,6.48,3.68,C,H
SUBA,F,9,3.16,4.81,C,F
SUBA,F,3,2.78,3.47,C,F
MARTIRES,F,19,6.21,5.9,C,F
MARTIRES,F,24,6.89,5.23,C,F
MARTIRES,F,23,6.39,7.16,C,F
MARTIRES,X,40,4.6,5.64,T,F
SUBA,M,7,2.92,1.71,C,H
SUBA,F,22,7.53,5.56,C,F
USAQUEN,F,15,7.23,6.12,C,F
KENNEDY,M,29,6.31,4.28,C,H
USAQUEN,F,27,4.07,5.33,C,F
USAQUEN,F,32,2.61,3.59,C,F
SUBA,F,11,3.67,2.67,C,F
USAQUEN,F,16,3.88,4.57,C,F
SUBA,F,48,2.37,3.81,C,F
KENNEDY,M,17,7.21,4.19,C,H
MARTIRES,M,20,5.75,2.97,C,H
KENNEDY,F,30,6.58,5.8,C,F
KENNEDY,F,1,4.34,3.28,C,F
SUBA,F,9,3.87,5.26,C,F
KENNEDY,F,46,5.66,4.1,C,F
SUBA,F,22,3.52,4.24,C,F
USAQUEN,M,29,4.33,2.81,C,H
MARTIRES,F,45,4.21,3.95,C,F
KENNEDY,F,13,5.09,4.58,C,F
KENNEDY,X,35,7.91,4.95,T,F
USAQUEN,F,16,3.8,3.56,C,F
KENNEDY,M,22,8.07,3.41,C,H
SUBA,F,25,4.16,4.17,C,F
MARTIRES,F,27,4.37,4.33,C,F
SUBA,F,52,3.45,3.99,C,F
USAQUEN,M,16,2.62,2.2,C,H
MARTIRES,F,17,7.22,7.01,C,F
KENNEDY,F,40,4.79,4.0,C,F
MARTIRES,M,9,4.18,1.93,C,H
KENNEDY,M,44,7.03,2.73,C,H
USAQUEN,F,15,5.87,4.75,C,F
SUBA,F,31,3.33,5.24,C,F
MARTIRES,M,2,5.71,0.33,C,H
MARTIRES,F,19,6.03,5.72,C,F
MARTIRES,F,12,3.57,3.85,C,F
MARTIRES,F,20,7.19,5.6,C,F
MARTIRES,F,21,6.05,5.55,C,F
KENNEDY,M,8,3.58,1.42,C,H
USAQUEN,M,12,1.93,0.84,C,H
USAQUEN,F,29,4.76,5.37,C,F
USAQUEN,F,28,5.6,6.29,C,F
SUBA,X,34,3.66,6.25,T,F
KENNEDY,F,8,5.47,1.34,C,F
MARTIRES,X,41,5.05,7.16,T,F
KENNEDY,M,29,7.33,2.29,C,H
MARTIRES,F,51,3.67,3.82,C,F
KENNEDY,F,2,5.41,3.96,C,F
SUBA,M,16,5.87,3.34,C,H
KENNEDY,F,17,6.62,3.95,C,F
MARTIRES,F,6,3.12,4.0,C,F
KENNEDY,M,32,7.65,1.3,C,H
KENNEDY,M,15,8.09,1.79,C,H
KENNEDY,F,24,6.93,5.68,C,F
MARTIRES,M,14,6.69,0.18,C,H
USAQUEN,F,6,2.24,4.71,C,F
MARTIRES,M,6,4.95,1.97,C,H
KENNEDY,M,24,8.06,4.15,C,H
SUBA,F,2,3.92,5.23,C,F
MARTIRES,M,3,4.14,1.9,C,H
KENNEDY,F,34,8.42,2.21,C,F
KENNEDY,M,39,7.13,0.89,C,H
SUBA,F,9,2.41,5.06,C,F
SUBA,F,45,2.86,3.26,C,F
SUBA,F,13,4.07,3.78,C,F
USAQUEN,F,34,6.35,3.61,C,F
SUBA,M,17,6.98,3.28,C,H
KENNEDY,M,15,7.84,3.05,C,H
USAQUEN,F,12,3.27,3.74,C,F
KENNEDY,F,33,7.17,4.0,C,F
KENNEDY,F,14,5.83,4.06,C,F
USAQUEN,F,15,5.14,4.64,C,F
KENNEDY,X,32,7.38,5.2,T,F
USAQUEN,M,30,4.37,0.43,C,H
SUBA,F,30,4.92,6.42,C,F
SUBA,F,10,1.96,5.15,C,F
SUBA,F,18,5.1,2.98,C,F
USAQUEN,F,1,1.11,4.79,C,F
MARTIRES,F,11,4.94,5.35,C,F
MARTIRES,M,33,4.79,2.62,C,H
USAQUEN,M,36,3.49,0.23,C,H
MARTIRES,M,11,3.01,3.25,C,H
MARTIRES,M,26,5.85,3.04,C,H
USAQUEN,F,42,1.51,3.79,C,F
USAQUEN,F,18,5.2,6.61,C,F
USAQUEN,X,30,2.76,5.13,T,F
MARTIRES,F,25,4.95,4.76,C,F
MARTIRES,F,7,4.15,5.58,C,F
SUBA,F,15,7.54,4.15,C,F
SUBA,F,14,4.82,2.97,C,F
SUBA,F,18,6.32,4.49,C,F
USAQUEN,F,7,3.08,3.96,C,F
MARTIRES,F,14,3.74,1.4,C,F
SUBA,F,54,2.87,2.94,C,F
KENNEDY,F,25,5.17,4.31,C,F
SUBA,F,17,5.89,4.93,C,F
SUBA,F,10,2.35,3.11,C,F
KENNEDY,F,29,6.82,5.22,C,F
USAQUEN,X,32,3.78,5.95,T,F
KENNEDY,F,19,8.47,5.79,C,F
MARTIRES,M,6,2.23,3.54,C,H
MARTIRES,F,25,5.52,5.34,C,F
USAQUEN,M,14,3.37,2.48,C,H
KENNEDY,M,12,5.88,2.5,C,H
USAQUEN,M,24,4.74,3.01,C,H
SUBA,F,20,5.88,4.29,C,F
SUBA,F,25,4.78,5.87,C,F
MARTIRES,M,9,2.93,2.3,C,H
MARTIRES,F,14,5.97,4.35,C,F
KENNEDY,F,15,8.88,5.57,C,F
MARTIRES,F,9,3.29,4.11,C,F
KENNEDY,M,1,4.28,2.14,C,H
USAQUEN,X,34,2.51,7.57,T,F
SUBA,X,49,3.21,5.98,T,F
MARTIRES,M,33,6.73,3.59,C,H
MARTIRES,M,15,5.84,1.52,C,H
USAQUEN,F,15,4.52,5.27,C,F
MARTIRES,F,13,4.25,4.59,C,F
MARTIRES,F,35,6.42,3.26,C,F
MARTIRES,F,18,5.76,5.28,C,F
USAQUEN,F,35,4.02,4.86,C,F
USAQUEN,F,32,3.55,4.4,C,F
MARTIRES,F,50,3.29,3.51,C,F
